utterance_order,transcription,start_time,end_time,debater
26,"OK, é, eu não vou generalizar tanto. 50% das pessoas não fazem. Eu conheço um bocado de pessoas que, ah, não sei pergunta do chatGPT, me bota a resposta lá, né, Atividade, principalmente no momento de pandemia, é essa coisa muito, muito mais forms lá da vida que só queria a resposta, não importava como você fez. Eu vi muita gente usando desses artifício para passar, tirar notas boas e depois no final, não saber nem o que fez. E inclusive, questão de redações que é, é um negócio que eu tive uma experiência bem de perto mesmo. Algumas pessoas pegam, mandam chatGPT, fazem a redação de qualquer tema. Ele vai fazer, põe outro, 3 palavrinha, inverte o parágrafo outro e manda, tira notas boas. Acho que o conselho acadêmico, deveria haver um jeito também de fazer o chatGPT não dá a resposta pronta, mas mostrar como faz. Eu acho que é tipo um chatGPT acadêmico, né? Seria inovador, diria.",896,977,DEBATER3
27,Então o debatedor 3 concorda que deveria ser restringido?,978,982,DEBATER1
28,"Não, restringido não, criada uma nova ferramenta específica para a educação.",983,990,DEBATER3
29,"Mas isso é restringir o uso das IAs, não?",991,993,DEBATER2
30,"Você poderá restringir dentro da escola, mas você vai ter a outra justamente de provas. Eu acho que seria importante.",994,1.004,DEBATER3
31,"Mas o que garante que, por exemplo, você mesmo tendo essa nova ferramenta assim com filtros e limitadas, o que garante que a pessoa não vai usar a outra?",1005,1014,DEBATER1
32," É, realmente. A ética, né? princípios.",1019,1023,DEBATER3
33," Concordo, é verdade.",1035,1036,DEBATER3
34,"Exatamente o que ela falou, porque se tu pega, se tu pega e se tu pergunta uma coisa e tu tem um resultado e tu pega ali e usa, tu vai estar pondo em risco tua integridade, a tua ética. E você não está confirmando se aquilo ali é realmente completamente verídico, porque como já a como eu já havia falado, ela está aprendendo, ela está aprendendo coisa errada também. Eu não estou sempre dando resultado e tu não verifica a responsabilidade é tua.",1064,1097,DEBATER1
35,"Alguém mais gostaria de falar algo sobre? Pois bem, então passaremos a terceira pergunta para o debatedor 3, de que maneira a propriedade intelectual deve ser tratada quando o conteúdo é gerado por uma IA, por exemplo, se o usuário gerou uma música usando IA, o crédito pela criação deve ser o deste usuário? da plataforma utilizada? do criador dos dados originais com o com os quais aí já foi treinada?",1098,1128,MODERATOR
36,"Também acho que isso aí que os debatedores estão falando. Por exemplo, tem o chatGPT como exemplo. Ele é uma base de dados, então ele não está 100% correto o tempo todo. Então eu já vi gente reclamando: ""Ah, eu usei uma IA generativa e a resposta deu estava errada."" Só que você é, além de você, tem que ter o seu senso e saber o que você está falando.",1035,1063,DEBATER2
37,"Exatamente o que ela falou, porque se tu pega, se tu pega e se tu pergunta uma coisa e tu tem um resultado e tu pega ali e usa, tu vai estar pondo em risco tua integridade, a tua ética. E você não está confirmando se aquilo ali é realmente completamente verídico, porque como já a como eu já havia falado, ela está aprendendo, ela está aprendendo coisa errada também. Eu não estou sempre dando resultado e tu não verifica a responsabilidade é tua.",1064,1097,DEBATER1
38,"Agora eu vou fazer uma pergunta direcionada a todo grupo, qualquer um dos debatedores podem responder. O uso e o desenvolvimento de IA generativas devem ser fortemente fiscalizados por órgãos governamentais, ou elas são apenas mais um tipo de software comum como milhares de outros existentes?",1305,1339,MODERATOR
39,"Isso, é uma grande dúvida. É há muita discussão sobre isso. Modéstia à parte, eu acho que como a IA aprende com quem está interagindo com ela eu acho que mesmo que houvesse uma divisão, não, eu que fiz a IA eu quero 20%, sei lá, 10% dos créditos da música. Acho que a maior parte deve deve ser para uma pessoa que ela foi treinada mesmo, mesmo que uma parte pequena, assim 10, 5% for para a plataforma e outros 10% por criador da IA acho que a maior parte tem que ir para quem a treinou. Os dados com o que ela foi treinado, o usuário que interagiu com ela para criar essa música.",1130,1189,DEBATER3
40,"Eu acho que uma resposta deve ser fortemente fiscalizada como a música , porque até como todo o nosso impacto foi o debate foi em relação a isso que deve haver a fiscalização da deve-se usar os IAs, mas com a forte fiscalização.",1340,1359,DEBATER2
41,"Mas a fiscalização tem que ser governamental? porque, porque a no país, no Brasil, onde estamos, a fiscalização governamental é falha. Então assim, eu acho que ele é um software comum e dependendo do seu uso, dependendo do que você fez, você tem uma consequência. Eu acho que o onde é que o governo tem que entrar, dependendo da situação, da conjuntura atual ou do futuro, criar regras, alguma regra ou ou algo do tipo, mas não fiscalizar fortemente, porque essa fiscalização fortemente em algum momento, ela vai vir, ela vai ser limitante pra IA. Então, até que ponto fiscalizar fortemente?",1360,1410,DEBATER1
42,"É, eu vou concordar com ele que falou, no Brasil que nós vivemos o pessoal joga o lixo fora do lixo do lado do lixo, então não vai funcionar aí eu acho que, como os países têm vou caçar aqui a palavra culturas diferentes de cada um puder definir de uma forma diferente, até que ponto nós temos um IA porque cada cultura tem seus princípios seus, seus culturas, suas a cultura em geral. Cada povo tem sua cultura e para algumas culturas, pode ser bom algo e para outros não. Aí, tipo, num país a IA é fiscalizada pelo governo e o governo disse não, você não pode ensinar o pessoal como criar um avião. E a outra disse que tem que ensinar o pessoal. Acho que vai dar errado, vai dar errado. Vão ter duas IAs diferentes no caso, viu? Eu acho que para dar fé tem que ser uma IA universal e as mesmas regras em todos os países. Aí que se tem alguns que podem ser moldadas, né? De acordo com a situação, mas, nesse partindo desse eu acho que tem que ser pouco... pouco fiscalizada, mas tem algumas regras, sejam universais para todas.",1412,1512,DEBATER3
43,"Eu acho que a criação de música pelo IA, usando outras músicas de ser pensado da mesma forma que, por exemplo, na indústria da música, atualmente eles usam a interpolação. Eu acho que é uma parte, vai para o criador original e a outra o útil parte dos números da música vai para quem fez uma pegada diferente com essa música, por exemplo. Só que eu acho que tem que partir para essa parte legal é da mesma forma que as interpolações são feitas e eu não acho que ainda deve, aí, dinheiro para a plataforma de IA, porque ela é só um meio que o usuário está usando para criar aquilo.",1190,1235,DEBATER2
44,"Acho uma pergunta um pouco aberta, porque quando você usa uma plataforma, por exemplo, de IA, mais difundido chatGPT, ela tem, ela tem regras, tem condições que você aceita. Então, dependendo do que tem nessas condições, nessas regras que ela passa e você vai está lá e aceita, do que você aceitou, você, você, se você não lembra, você está se propondo a correr o risco de, dependendo do que ela gerou, você vai partir para ela, para o criador. E outra coisa, por exemplo, se um usuário gerar uma música, usando IA, aí é o questionamento, até onde, aliás, gerou a música e que partes ela fez. Ela adicionou palavras? ela ajudou você no raciocínio? como é que a gente, como é que isso vai ser fiscalizado? Então eu acho tem que ser vários pontos analisados até chegar ao veredito de quem vai ser quem vai ser creditado por isso.",1237,1304,DEBATER1
45,"Tem que existir lá a regra universal para todas, OK? Mas eu não [INAUDÍVEL]. Nenhuma pessoa de assunto informando o governo porque porque pode ser falha, pode ser instintiva e pode é de Liberdade.",1513,1533,DEBATER1
46,"Fortaleceu. Opinião é a mesmo: uso aberto, uso livre, uso consciente, consciente de consequência, uma regra ou outra. Fiscalização governador não.",1565,1578,DEBATER1
47,"Continua a mesma também, mas eu acredito na fiscalização governamental, porque é se não houver uma fiscalização, que órgão, que vai, é... ser geral para toda a sociedade?.",1579,1594,DEBATER2
48,"Não, eu acho que seria ruim, mas impô-las em alguns cantos. Acho que vai depender muito do governo que está regendo a região, porque se for um governo que vai implementa as leis eprocura resolver os problemas, pode ser uma fiscalização plausível, né? Mas aí, se um governo agir com descaso, não, vai ser muito invariável. Até eu pensei agora uma junção dos 2, fase um fazer dois, passou pela fase do governo, aí passa pelos testes, entre aspas, da empresa que criou.",1755,1797,DEBATER3
49,"Fortaleceu. Opinião é a mesmo: uso aberto, uso livre, uso consciente, consciente de consequência, uma regra ou outra. Fiscalização governamental não.",1565,1578,DEBATER1
50,"Pensando nisso, tá partindo da daquele exemplo, lá é do que eu falei logo no início, da fome aí a pessoa manda um processo generativo lá para a empresa e ela passa pelo governo e o governo olha. Tá bacana? Vai, vai solucionar a fome. A empresa vai aí a empresa começar a distribuir essa IA e implementar nos computadores. Dentro do governo dá certo?",1668,1700,DEBATEDOR3
51,"Por que que você acha de que a fiscalização tem que ser por parte do governo? porque as próprias empresas, criadores de IA, não criam um meio, um órgão que que fiscalize e que e que reja? porque tem que vir do governo, sabes?",1595,1610,DEBATER1
52,"Essa, esse órgão vindo de empresas não seria facilmente burlado, não? porque se ele vem da empresa, ele depende da empresa, né?",1611,1627,DEBATER3
53,"Você fala que seria falho então? mas o que que? Mas o que garante que a fiscalização governamental seria menos falha do que uma privada? Porque eu penso em uma fiscalização privada, como talvez tinha que ter, talvez um pouquinho do dedo do governo para ser um mediador de todas as empresas que criam IAs por exemplo, aí pode ser OK, mas só o governo fiscalizando não é pouco, é cilada.",1632,1659,DEBATER1
54,você concorda que tem que ter o governo em alguma parte do processo?,1660,1663,DEBATER3Então
55,"Minimamente, se der errado.",1664,1666,DEBATER1
56,"Se der errado, show. Aí pensando nisso, partindo daquele exemplo lá, do que eu falei logo no ínicio, da fome ai a pessoa manda o processo generativo lá para empresa e passa pelo governo, o governo olha e tá bacana. Vai, vai solucionar a fome? a empresa ""vai"", ai a empresa começa a distribuir essas IAs e implementar nos computadores. Aí, o dedo do governo deu certo?",1667,1698,DEBATER3
57,"Eu pensei na fiscalização do governo porque trás a universalidade em todas essas empresas de IA, como os debatedores estavam falando, cada empresa pode ter diferentes morais e éticas, podem passar por diferentes coisas e eu coloquei em tese na minha fala, um governo que funcionasse perfeitamente. Eu não pensei no caso de que é falho.",1797,1825,DEBATER2
58,"Eu pensei na fiscalização do governo porque trás a universalidade em todas essas empresas de IA, como os debatedores estavam falando, cada empresa pode ter diferentes morais e éticas, podem passar por diferentes coisas e eu coloquei em tese na minha fala, um governo que funcionasse perfeitamente. Eu não pensei no caso de que é falho.",1797,1825,DEBATER2
59,"Pensando pelo lado da debatedor 2, talvez, talvez iniciativa público-privada seria uma boa assim, a depender da circunstância e da forma que ela vai ser criada. Porque falar de fiscalização de IA, principalmente na época atual, que a gente está vivendo, que ela estão tendo o boom que está começando a ser estudado amplamente. Então não seja uma boa hora, Agora. Mas em algum momento deve-se existir e deve ser adversado. Como isso vai funcionar? Como isso vai agir? Não dá para você chegar e falar: ""Ah, eu acho que a fiscalização tem que ser assim, assim"" porque ele nunca vai, nunca vai abrir todo o mundo vai ter pontos negativos sempre, sempre.",1827,1881,DEBATER1
60,"Bem, nesse caso, retomamos a pergunta final, né? Porque a gente acabou voltando ao assunto anterior, é? Houve uma mudança de visão? quais são as suas considerações finais sobre o tema? Essa mudança ocorreu depois do debate?",1883,1917,MODERATOR
61,"poder livre, aberto, talvez um dedo do governo aí e possivelmente uma fiscalização público-privada.",1918,1929,DEBATER1
62,"continua a mesmo, mas eu pensei na ideia dos debatedores, e é, eu ainda acredito na fiscalização governamental por conta da universalidade mas tem que ter o dedo de mais pessoas.",1930,1960,DEBATER2
63,"Entendi. Pois bem, gente, estamos chegando ao final, né? Do nosso debate. Então vocês podem é escanear esse quer para um formulário de auto avaliação, bem rapidinho. E as respostas são confidenciais e serão utilizadas só para os fins de avaliação e aprimoramento, no geral, não.",1990,2032,MODERATOR
64,"Mudou-se um pouco a minha ideia. É Levando em conta que ainda IA estar aprendendo muito ainda. É, eu concordei que não agora, né? Mas depois de um certo conhecimento de como essa IA vai se comportar e entender melhor. Ela. Talvez existe uma certa fiscalização público privada.",1961,1989,DEBATER3
